产品代码,产品名称,风险等级,产品状态,销售状态
AF258608G,信银理财安盈象固收稳利日开136号理财产品,中低风险,存续期内,在售
AF250603G,信银理财安盈象固收稳利日开178号理财产品,中低风险,存续期内,在售
AF252047G,信银理财安盈象固收稳利日开195号理财产品,中低风险,存续期内,在售
AF245307G,信银理财安盈象固收稳利日开25号理财产品,中低风险,存续期内,在售
AF245390G,信银理财安盈象固收稳利日开27号理财产品,中低风险,存续期内,在售
AF245393B,信银理财安盈象固收稳利日开30号理财产品,中低风险,存续期内,在售
AF245725G,信银理财安盈象固收稳利日开33号理财产品,中低风险,存续期内,在售
AF247187B,信银理财安盈象固收稳利日开50号理财产品,中低风险,存续期内,在售
AF264691B,信银理财慧盈象固收增利三个月持有期120号理财产品,中低风险,存续期内,在售
AF258534G,信银理财慧盈象固收增利三个月持有期25号理财产品,中低风险,存续期内,在售
AF250293G,信银理财慧盈象固收增利三个月持有期40号理财产品,中低风险,存续期内,在售
AF250907G,信银理财慧盈象固收增利三个月持有期58号理财产品,中低风险,存续期内,在售
EW5885D,光大理财私行尊享阳光金私享稳健日开2号（90天最低持有）D,中低风险,存续期内,在售
EW4993D,光大理财私行尊享阳光金私享稳健日开（60天最低持有）D,中低风险,存续期内,在售
EW4994D,光大理财私行尊享阳光金私享稳健日开（90天最低持有）D,中低风险,存续期内,在售
EW6687D,光大理财私行尊享阳光青私享41期（黄金自动触发策略）D,中低风险,存续期内,在售
EW0057,光大理财阳光碧灵活1号理财产品,低风险,存续期内,在售
9TTL001E,兴银添利天天利1号E,低风险,存续期内,在售
9B31000F,兴银理财-兴银添利8号F,低风险,存续期内,在售
9B310095,兴银理财-兴银添利宝I,低风险,存续期内,在售
9B31013E,兴银理财-兴银添利日日新3号E,低风险,存续期内,在售
9B31009A,兴银理财-添利10号A,低风险,存续期内,在售
9B31413B,兴银理财添利13号现金管理型理财产品,低风险,存续期内,在售
9TTL027F,兴银理财添利天天利27号净值型理财产品,低风险,存续期内,在售
9TTL005N,兴银理财添利天天利5号净值型理财产品,低风险,存续期内,在售
9TTL007B,兴银理财添利天天利7号净值型理财产品,低风险,存续期内,在售
9B31112E,兴银理财添利日日新12号净值型理财产品,低风险,存续期内,在售
9K45073H,兴银理财稳添利ESG季盈73号(3个月最短持有期)日开固收类理财产品,中低风险,存续期内,在售
9E30208A,兴银理财稳添利ESG月盈208号(1个月最短持有期)日开固收类理财产品,中低风险,存续期内,在售
9K41049A,兴银理财稳添利周盈49号(7天最短持有期)日开固收类理财产品,中低风险,存续期内,在售
9K41055G,兴银理财稳添利周盈55号(7天最短持有期)日开固收类理财产品,中低风险,存续期内,在售
9K40031D,兴银理财稳添利季盈11号(3个月最短持有期)日开固收类理财产品,中低风险,存续期内,在售
9K45053E,兴银理财稳添利季盈53号(3个月最短持有期)日开固收类理财产品,中低风险,存续期内,在售
9E50201C,兴银理财稳添利季盈ESG201号(3个月最短持有期)日开固收类理财产品,中低风险,存续期内,在售
9K92133A,兴银理财稳添利日盈增利33号日开固收类理财产品,中低风险,存续期内,在售
9K92145C,兴银理财稳添利日盈增利45号日开固收类理财产品,中低风险,存续期内,在售
9K92152B,兴银理财稳添利日盈增利52号日开固收类理财产品,中低风险,存续期内,在售
9K92158D,兴银理财稳添利日盈增利58号日开固收类理财产品,中低风险,存续期内,在售
25115045C,华夏理财固收纯债最短持有14天H款C,中低风险,存续期内,在售
25115097C,华夏理财固收纯债最短持有30天4号C,中低风险,存续期内,在售
24115022Z,华夏理财固收纯债最短持有30天G款Z,中低风险,存续期内,在售
24115030A,华夏理财固收纯债最短持有30天I款A,中低风险,存续期内,在售
25115050C,华夏理财固收纯债最短持有30天S款C,中低风险,存续期内,在售
25115053C,华夏理财固收纯债最短持有60天I款C,中低风险,存续期内,在售
25115039C,华夏理财固收纯债最短持有7天5号C,中低风险,存续期内,在售
25115042C,华夏理财固收纯债最短持有7天8号C,中低风险,存续期内,在售
25115043C,华夏理财固收纯债最短持有7天9号C,中低风险,存续期内,在售
24012104C,华夏理财现金104号C,低风险,存续期内,在售
25012124D,华夏理财现金124号D,低风险,存续期内,在售
25012125D,华夏理财现金125号D,低风险,存续期内,在售
24012077D,华夏理财现金77号D（日日申）,低风险,存续期内,在售
24012078D,华夏理财现金78号D（日日申）,低风险,存续期内,在售
2119987003E,华夏理财现金管理类理财产品3号E,低风险,存续期内,在售
24012087C,华夏理财现金管理类理财产品87号C,低风险,存续期内,在售
24112017V,华夏理财纯债日开17号V,中低风险,存续期内,在售
24112022A,华夏理财纯债日开22号A,中低风险,存续期内,在售
25112038C,华夏理财纯债日开38号C,中低风险,存续期内,在售
25112042C,华夏理财纯债日开42号C,中低风险,存续期内,在售
25112043C,华夏理财纯债日开43号C,中低风险,存续期内,在售
2501250637,双周鑫最短持有期42号B,中低风险,存续期内,在售
2501240127,双周鑫最短持有期46号A,中低风险,存续期内,在售
2501240000,双周鑫最短持有期58号,中低风险,存续期内,在售
2501251846,周周鑫最短持有期103号C,中低风险,存续期内,在售
2501250795,周周鑫最短持有期10号E,中低风险,存续期内,在售
2501260016,周周鑫最短持有期136号A,中低风险,存续期内,在售
2501260038,周周鑫最短持有期178号A,中低风险,存续期内,在售
2501250606,周周鑫最短持有期32号C,中低风险,存续期内,在售
2301249183,周周鑫最短持有期56号,中低风险,存续期内,在售
2501250669,周周鑫最短持有期68号A,中低风险,存续期内,在售
2501250657,周周鑫最短持有期69号A,中低风险,存续期内,在售
2501251803,周周鑫最短持有期88号A,中低风险,存续期内,在售
2501250683,周周鑫最短持有期92号A,中低风险,存续期内,在售
2301241956,天添利现金宝27号D,低风险,存续期内,在售
2301241818,天添利现金宝40号,低风险,存续期内,在售
2301241828,天添利现金宝61号B,低风险,存续期内,在售
2501240810,天添利现金宝62号D,低风险,存续期内,在售
2301241867,天添利现金宝67号B,低风险,存续期内,在售
2301241927,天添利现金宝72号B,低风险,存续期内,在售
2501251663,天添利现金宝97号G,低风险,存续期内,在售
2301239317,天添利现金宝D,低风险,存续期内,在售
2301239316,天添盈增利1号C,低风险,存续期内,在售
2301241735,天添盈增利5号F,低风险,存续期内,在售
2301239420,天添盈增利K款,低风险,存续期内,在售
2301241845,天添盈增利L款,低风险,存续期内,在售
2501250655,天添鑫111号A,中低风险,存续期内,在售
2501251920,天添鑫150号A,中低风险,存续期内,在售
2501240095,天添鑫19号B,中低风险,存续期内,在售
2301240482,天添鑫20号A,中低风险,存续期内,在售
2501250633,天添鑫77号B,中低风险,存续期内,在售
2501240126,天添鑫83号A,中低风险,存续期内,在售
2501251908,天添鑫中短债165号A,中低风险,存续期内,在售
2501250732,天添鑫中短债92号A,中低风险,存续期内,在售
2501240098,季季鑫最短持有期16号A,中低风险,存续期内,在售
2301249185,季季鑫最短持有期19号,中低风险,存续期内,在售
2501250661,季季鑫最短持有期30号A,中低风险,存续期内,在售
2501250689,季季鑫最短持有期35号A,中低风险,存续期内,在售
2501260017,季季鑫最短持有期72号A,中低风险,存续期内,在售
ZGN2560069G,宁银理财宁欣日日薪固定收益类日开理财69号-G,中低风险,存续期内,在售
ZGN2560078G,宁银理财宁欣日日薪固定收益类日开理财78号（最短持有28天）-G,中低风险,存续期内,在售
24GS2988,工银理财·天天鑫添益固定收益类开放式理财产品1号,中低风险,存续期内,在售
24GS2900,工银理财·天天鑫添益固定收益类开放式理财产品2号,中低风险,存续期内,在售
24GS5906,工银理财·核心优选最短持有7天固定收益类开放式理财产品,中低风险,存续期内,在售
24GS5904,工银理财·核心优选最短持有7天固收类开放式理财产品,中低风险,存续期内,在售
24G5961H,工银理财·核心优选最短持有90天固收类开放理财产品 (24G5961H),中低风险,存续期内,在售
24G2070D,工银理财·添利宝现金管理产品10号(24G2070D),低风险,存续期内,在售
25G0726E,工银理财·添利宝现金管理类开放产品107号（25G0726E）,低风险,存续期内,在售
24G2888E,工银理财·添利宝现金管理类开放产品8号（24G2888E）,低风险,存续期内,在售
24G2889E,工银理财·添利宝现金管理类开放产品9号（24G2889E）,低风险,存续期内,在售
25GS0729,工银理财·添利宝现金管理类开放净值型理财产品106号(25GS0729),低风险,存续期内,在售
26G0750E,工银理财·添利宝现金管理类开放净值型理财产品144号(26G0750E),低风险,存续期内,在售
24G0001E,工银理财·添利宝现金管理类开放净值型理财产品16号,低风险,存续期内,在售
25G6058E,工银理财·鑫悦日开股债精选固收增强理财产品1号（25G6058E）,中低风险,存续期内,在售
25G2914I,工银理财·鑫添益最短持有14天固定收益类开放式理财产品2号,中低风险,存续期内,在售
24G2966E,工银理财·鑫添益最短持有30天固收类理财产品,中低风险,存续期内,在售
26GS2968,工银理财·鑫添益最短持有60天固收1号,中低风险,存续期内,在售
25G2990E,工银理财·鑫添益最短持有90天固定收益类开放式理财产品3号,中低风险,存续期内,在售
24GS5903,工银理财天天鑫核心优选日开,中低风险,存续期内,在售
25G2970E,工银理财天天鑫添益固收开放式产品（25G2970E）,中低风险,存续期内,在售
25G5923E,工银理财核心优选固收增强最短持有90天1号,中低风险,存续期内,在售
25G5956J,工银理财核心优选最短持有14天固收类开放式理财产品,中低风险,存续期内,在售
24GS5912,工银理财核心优选最短持有30天,中低风险,存续期内,在售
25G5930E,工银理财核心优选最短持有30天固收增强,中低风险,存续期内,在售
25G5920E,工银理财核心优选最短持有30天固收增强2号,中低风险,存续期内,在售
25G5934E,工银理财核心优选最短持有60天(25GS5934),中低风险,存续期内,在售
25G5922E,工银理财核心优选最短持有60天固收增强1号,中低风险,存续期内,在售
25G0050E,工银理财添利宝现金管理类开放产品77号(25G0050E),低风险,存续期内,在售
25G0051E,工银理财添利宝现金管理类开放产品78号(25G0051E),低风险,存续期内,在售
24G6791E,工银理财鑫悦最短持有30天1号,中低风险,存续期内,在售
25G6789E,工银理财鑫悦绿色科创主题30天固收增强（25G6789E）,中低风险,存续期内,在售
26G6630E,工银理财鑫悦股债精选固收增强30天1号(26G6630E),中低风险,存续期内,在售
25GS2009,工银理财鑫添益固收增强低波红利最短持有90天,中低风险,存续期内,在售
25GS2773,工银理财鑫添益固收增强最短持有30天1号,中低风险,存续期内,在售
25GS2735,工银理财鑫添益固收增强最短持有30天2号,中低风险,存续期内,在售
21G2681E,工银理财鑫添益固收增强最短持有30天3号,中低风险,存续期内,在售
25GS2964,工银理财鑫添益固收增强最短持有60天1号,中低风险,存续期内,在售
25GS2790,工银理财鑫添益固收增强最短持有90天1号,中低风险,存续期内,在售
25GS2779,工银理财鑫添益固收增强最短持有90天2号,中低风险,存续期内,在售
24GS2990,工银理财鑫添益最短持有90天,中低风险,存续期内,在售
QTCG01407A,平安理财启元添利日开14天持有7号固收类理财产品A,中低风险,存续期内,在售
QTCG00118A,平安理财启元添利日开18号固收类理财产品A,中低风险,存续期内,在售
QTCG03010A,平安理财启元添利日开30天持有10号固收类理财产品A,中低风险,存续期内,在售
QTCG00104A,平安理财启元添利日开4号固收类理财产品A,中低风险,存续期内,在售
QTCG00105A,平安理财启元添利日开5号固收类理财产品A,中低风险,存续期内,在售
QTCG06006A,平安理财启元添利日开60天持有6号固收类理财产品A,中低风险,存续期内,在售
QTCG00708A,平安理财启元添利日开7天持有8号固收类理财产品A,中低风险,存续期内,在售
QTCG09007A,平安理财启元添利日开90天持有7号固收类理财产品A,中低风险,存续期内,在售
QTCG09901A,平安理财启元添利日开99天持有1号固收类理财产品A,中低风险,存续期内,在售
QWCG00111A,平安理财启元稳利日开11号固收类理财产品A,中低风险,存续期内,在售
QWCG01413A,平安理财启元稳利日开14天持有13号固收类理财产品A,中低风险,存续期内,在售
QWCG01406A,平安理财启元稳利日开14天持有6号固收类理财产品A,中低风险,存续期内,在售
QWCG00116A,平安理财启元稳利日开16号固收类理财产品A,中低风险,存续期内,在售
QWCG00117A,平安理财启元稳利日开17号固收类理财产品A,中低风险,存续期内,在售
QWCG02814A,平安理财启元稳利日开28天持有14号固收类理财产品A,中低风险,存续期内,在售
QWCG00129A,平安理财启元稳利日开29号固收类理财产品A,中低风险,存续期内,在售
QWCG03009A,平安理财启元稳利日开30天持有9号固收类理财产品A,中低风险,存续期内,在售
QWCG00717A,平安理财启元稳利日开7天持有17号固收类理财产品A,中低风险,存续期内,在售
QWCG00709A,平安理财启元稳利日开7天持有9号固收类理财产品A,中低风险,存续期内,在售
XFTLCY14D05A,广银理财幸福添利14天持有期固定收益类理财产品第5号,中低风险,存续期内,在售
XFTLCY0103A,广银理财幸福添利1个月持有期固定收益类理财产品第3号,中低风险,存续期内,在售
XFTLCY21D02A,广银理财幸福添利21天持有期固定收益类理财产品第2号,中低风险,存续期内,在售
XFTLCY0203A,广银理财幸福添利2个月持有期固定收益类理财产品第3号,中低风险,存续期内,在售
XFTLCY0308A,广银理财幸福添利3个月持有期固定收益类理财产品第8号,中低风险,存续期内,在售
XFTLCY0503C,广银理财幸福添利5个月持有期固定收益类理财产品第3号,中低风险,存续期内,在售
XFTLCY7D04A,广银理财幸福添利7天持有期固定收益类理财产品第4号,中低风险,存续期内,在售
XFTLD04A,广银理财幸福添利日开固定收益类理财产品第4号,中低风险,存续期内,在售
XFLJRRX0001B,广银理财幸福理财幸福鎏金-日日薪1号净值型理财产品,低风险,存续期内,在售
JXJX1MGS251014024,建信理财嘉鑫固收类最低持有30天产品第24期,中低风险,存续期内,在售
JXJXZDCY300915002,建信理财嘉鑫固收类最低持有30天产品第2期,中低风险,存续期内,在售
JXJXZDCY900225005,建信理财嘉鑫固收类最低持有90天产品第5期,中低风险,存续期内,在售
JXJXARGW250609024,建信理财嘉鑫（稳利）固收类按日开放式产品第24期,中低风险,存续期内,在售
JXJXBGS2023051119,建信理财建信宝按日开放式净值型理财产品第19期,低风险,存续期内,在售
2501HN009A,惠农·鸿运日开9号A,低风险,存续期内,在售
2501BS003A,惠农·鸿运最短持有14天3号A,低风险,存续期内,在售
2501BR003A,惠农·鸿运最短持有7天3号A,低风险,存续期内,在售
133056D,招银理财招睿丰和7天持有期5号固定收益类理财计划,中低风险,存续期内,在售
133013D,招银理财招睿丰和日开29号固定收益类理财计划,中低风险,存续期内,在售
17571D,招银理财招睿丰和日开2号固定收益类理财计划,中低风险,存续期内,在售
17572D,招银理财招睿丰和日开3号固定收益类理财计划,中低风险,存续期内,在售
17574D,招银理财招睿丰和日开5号固定收益类理财计划,中低风险,存续期内,在售
17575D,招银理财招睿丰和日开6号固定收益类理财计划,中低风险,存续期内,在售
17577K,招银理财招睿丰和日开8号固定收益类理财计划,中低风险,存续期内,在售
17560D,招银理财招睿丰和（信用精选）60天持有期1号固定收益类理财计划,中低风险,存续期内,在售
17561D,招银理财招睿丰和（信用精选）60天持有期2号固定收益类理财计划,中低风险,存续期内,在售
17595D,招银理财招睿丰和（信用精选）90天持有期2号固定收益类理财计划,中低风险,存续期内,在售
17524A,招银理财招睿丰和（短债）14天持有期2号固定收益类理财计划,中低风险,存续期内,在售
17524Z,招银理财招睿丰和（短债）14天持有期2号固定收益类理财计划,中低风险,存续期内,在售
17530D,招银理财招睿丰和（短债）30天持有期1号固定收益类理财计划,中低风险,存续期内,在售
17531D,招银理财招睿丰和（短债）30天持有期2号固定收益类理财计划,中低风险,存续期内,在售
17517D,招银理财招睿丰和（短债）7天持有期2号固定收益类理财计划,中低风险,存续期内,在售
17517I,招银理财招睿丰和（短债）7天持有期2号固定收益类理财计划,中低风险,存续期内,在售
17540V,招银理财招睿丰和（短债）7天持有期8号固定收益类理财计划,中低风险,存续期内,在售
107826D,招银理财招睿和鼎高评级日开6号固定收益类理财计划,低风险,存续期内,在售
107828D,招银理财招睿和鼎高评级日开8号固定收益类理财计划,低风险,存续期内,在售
17123D,招银理财招睿天添金稳健型2号固定收益类理财计划,中低风险,存续期内,在售
8781D,招银理财招睿天添金稳健型固定收益类理财计划,中低风险,存续期内,在售
17367F,招银理财招睿季添利(90天)持有期1号固定收益类理财计划,中低风险,存续期内,在售
17369D,招银理财招睿季添利(90天)持有期2号固定收益类理财计划,中低风险,存续期内,在售
17356D,招银理财招睿季添利90天持有期（ESG）1号固定收益类理财计划,中低风险,存续期内,在售
11507A,招银理财招睿日开7天滚动持有2号固定收益类理财计划,中低风险,存续期内,在售
110608D,招银理财招睿日开7天滚动持有5号固定收益类理财计划,中低风险,存续期内,在售
110609D,招银理财招睿日开7天滚动持有6号固定收益类理财计划,中低风险,存续期内,在售
17338D,招银理财招睿月添利(30天)持有期1号固定收益类理财计划,中低风险,存续期内,在售
17339D,招银理财招睿月添利(30天)持有期2号固定收益类理财计划,中低风险,存续期内,在售
17362D,招银理财招睿月添利(60天)持有期2号固定收益类理财计划,中低风险,存续期内,在售
132031D,招银理财招睿月添利14天持有期1号固定收益类理财计划,中低风险,存续期内,在售
17314D,招银理财招睿月添利30天持有期1号固定收益类理财计划,中低风险,存续期内,在售
132040D,招银理财招睿月添利30天持有期2号固定收益类理财计划,中低风险,存续期内,在售
107364D,招银理财招睿月添利60天持有期1号固定收益类理财计划,中低风险,存续期内,在售
17313D,招银理财招睿月添利7天持有期2号固定收益类理财计划,中低风险,存续期内,在售
132039D,招银理财招睿月添利7天持有期3号固定收益类理财计划,中低风险,存续期内,在售
132099Q,招银理财招睿添利14天持有期8号固定收益类理财计划,中低风险,存续期内,在售
132137D,招银理财招睿添利188天持有期1号固定收益类理财计划,中低风险,存续期内,在售
132105D,招银理财招睿添利30天持有期23号固定收益类理财计划,中低风险,存续期内,在售
132096D,招银理财招睿添利7天持有期16号固定收益类理财计划,中低风险,存续期内,在售
132111D,招银理财招睿添利日开20号固定收益类理财计划,中低风险,存续期内,在售
132112D,招银理财招睿添利日开21号固定收益类理财计划,中低风险,存续期内,在售
668310D,招银理财招睿金鼎90天持有期1号固定收益类理财计划,中低风险,存续期内,在售
122510D,招银理财招睿颐养丰润特别款90天持有期4号固收类理财计划,中低风险,存续期内,在售
122511D,招银理财招睿颐养丰润特别款90天（优享）持有期1号固收类理财计划,中低风险,存续期内,在售
8300ZD,招银理财招赢天天鑫现金管理类理财计划,低风险,存续期内,在售
8300ZH,招银理财招赢天天鑫现金管理类理财计划,低风险,存续期内,在售
8288D,招银理财招赢开鑫宝现金管理类理财计划,低风险,存续期内,在售
8197D,招银理财招赢朝招金多元进取型现金管理类理财计划,低风险,存续期内,在售
2501260039,月月鑫最短持有期110号A,中低风险,存续期内,在售
2501250608,月月鑫最短持有期25号B,中低风险,存续期内,在售
2501240097,月月鑫最短持有期46号A,中低风险,存续期内,在售
2301249184,月月鑫最短持有期47号,中低风险,存续期内,在售
2501250659,月月鑫最短持有期59号A,中低风险,存续期内,在售
2501250774,月月鑫最短持有期75号A,中低风险,存续期内,在售
2501251802,月月鑫最短持有期76号A,中低风险,存续期内,在售
2501250691,月月鑫最短持有期77号A,中低风险,存续期内,在售
2501260002,月月鑫最短持有期82号C,中低风险,存续期内,在售
FBAF19159E,民生理财天天增利现金管理159号理财产品E,低风险,存续期内,在售
FBAF19209E,民生理财天天增利现金管理209号理财产品E,低风险,存续期内,在售
FBAF19256E,民生理财天天增利现金管理256号理财产品E,低风险,存续期内,在售
FBAF19259E,民生理财天天增利现金管理259号理财产品E,低风险,存续期内,在售
PYWJCY024,汇华理财-时间朋友14天最短持有固收类理财产品024期,中低风险,存续期内,在售
PYWJCY039,汇华理财-时间朋友21天最短持有固收类理财产品039期,中低风险,存续期内,在售
PYWJCY049,汇华理财-时间朋友21天最短持有固收类理财产品049期,中低风险,存续期内,在售
PYWJCY025,汇华理财-时间朋友45天最短持有固收类理财产品025期,中低风险,存续期内,在售
PYWJCY001,汇华理财-时间朋友7天最短持有固收类理财产品001期,中低风险,存续期内,在售
PYWJCY050,汇华理财-时间朋友一个月最短持有固收类理财产品050期,中低风险,存续期内,在售
PYWJCY2405A,汇华理财-时间朋友一个月最短持有固收类理财产品2405期,中低风险,存续期内,在售
PYWJCY2405B,汇华理财-时间朋友一个月最短持有固收类理财产品2405期,中低风险,存续期内,在售
PYWJCY063,汇华理财-时间朋友三个月最短持有固收类理财产品063期,中低风险,存续期内,在售
PYWJCY2409,汇华理财-时间朋友三个月最短持有固收类理财产品2409期,中低风险,存续期内,在售
PYWJCY113,汇华理财-时间朋友两个月最短持有固收类理财产品113期,中低风险,存续期内,在售
PYWJCY2415,汇华理财-时间朋友两个月最短持有固收类理财产品2415期,中低风险,存续期内,在售
PYWJRK2407,汇华理财-时间朋友每日开放固收类理财产品2407期,中低风险,存续期内,在售
21001CZ1,汇华理财-汇华纯债开放式固定收益类理财产品,中低风险,存续期内,在售
23003HLCZ3,汇华理财-汇华衡利纯债一个月持有开放式固定收益类理财产品,中低风险,存续期内,在售
23001HLCZ1,汇华理财-汇华衡利纯债三月持有开放式固定收益类理财产品,中低风险,存续期内,在售
ZNZQCY007,汇华理财-趋势指南一个月最短持有固收类理财产品007期,中低风险,存续期内,在售
ZNZQCY020,汇华理财-趋势指南三个月最短持有固收类理财产品020期,中低风险,存续期内,在售
ZNZQCY047,汇华理财-趋势指南三个月最短持有固收类理财产品047期,中低风险,存续期内,在售
ZNZQCY035,汇华理财-趋势指南两个月最短持有固收类理财产品035期,中低风险,存续期内,在售
2301231994,浦银理财天添利进取6号B,低风险,存续期内,在售
J03639,苏银理财恒源日申月持1号G,中低风险,存续期内,在售
J11778,苏银理财恒源日申月持2号A,中低风险,存续期内,在售
J04745,苏银理财恒源灵动最短持有14天11号A,中低风险,存续期内,在售
J03750,苏银理财恒源灵动最短持有30天2号A,中低风险,存续期内,在售
J03971,苏银理财恒源灵动最短持有60天1号A,中低风险,存续期内,在售
J04744,苏银理财恒源灵动最短持有7天12号A,中低风险,存续期内,在售
EW761D,阳光碧灵活2号D,低风险,存续期内,在售
EW3065A,阳光金增利稳健乐享天天购12号（30天最低持有）A,中低风险,存续期内,在售
EW3579D,阳光金增利稳健乐享天天购14号（90天最低持有）D,中低风险,存续期内,在售
EW3451D,阳光金增利稳健乐享天天购15号（30天最低持有）D,中低风险,存续期内,在售
EW3540D,阳光金增利稳健乐享天天购19号（14天最低持有）D,中低风险,存续期内,在售
EW3575D,阳光金增利稳健乐享天天购21号（14天最低持有）D,中低风险,存续期内,在售
EW4622A,阳光金增利稳健乐享天天购22号（30天最低持有）A,中低风险,存续期内,在售
EW4586A,阳光金增利稳健乐享天天购27号（7天最低持有）A,中低风险,存续期内,在售
EW2695D,阳光金增利稳健乐享天天购9号（60天最低持有）D,中低风险,存续期内,在售
EW379H,阳光金增利稳健乐享天天购（7天最低持有）H,中低风险,存续期内,在售
EW4455D,阳光金增利稳健天天购11号（30天最低持有）D,中低风险,存续期内,在售
EW3583D,阳光金增利稳健天天购13号（14天最低持有）D,中低风险,存续期内,在售
EW6037D,阳光金增利稳健天天购15号（60天最低持有）D,中低风险,存续期内,在售
EW3582D,阳光金增利稳健天天购15号（7天最低持有）D,中低风险,存续期内,在售
EW4735D,阳光金增利稳健天天购21号（7天最低持有）D,中低风险,存续期内,在售
EW4895D,阳光金增利稳健天天购23号（14天最低持有）D,中低风险,存续期内,在售
EW4899D,阳光金增利稳健天天购25号（14天最低持有）D,中低风险,存续期内,在售
EW5248D,阳光金增利稳健天天购28号（7天最低持有）D,中低风险,存续期内,在售
EW6255D,阳光金增利稳健天天购29号（90天最低持有）D,中低风险,存续期内,在售
EW2362D,阳光金增利稳健天天购2号（90天最低持有）D,中低风险,存续期内,在售
EW6034D,阳光金增利稳健天天购33号（14天最低持有）D,中低风险,存续期内,在售
EW6035D,阳光金增利稳健天天购37号（7天最低持有）D,中低风险,存续期内,在售
EW2635D,阳光金增利稳健天天购3号（30天最低持有）D,中低风险,存续期内,在售
EW3586D,阳光金增利稳健天天购5号（60天最低持有）D,中低风险,存续期内,在售
EW3056D,阳光金增利稳健天天购7号（14天最低持有）D,中低风险,存续期内,在售
EW3109D,阳光金增利稳健天天购7号（90天最低持有）D,中低风险,存续期内,在售
EW3287D,阳光金增利稳健天天购9号（7天最低持有）D,中低风险,存续期内,在售
EW189D,阳光金增利稳健天天购（7天最低持有）D,中低风险,存续期内,在售
EW3590D,阳光金天天盈14号D,中低风险,存续期内,在售
EW5416D,阳光金天天盈39号D,中低风险,存续期内,在售
EW5898D,阳光金天天盈45号D,中低风险,存续期内,在售
EW6335D,阳光金天天盈46号D,中低风险,存续期内,在售
EW6261D,阳光金安心计划日开3号D,低风险,存续期内,在售
EW6264D,阳光金日添利11号D,中低风险,存续期内,在售
EB1068,阳光金日添利1号,中低风险,存续期内,在售
EW1803D,阳光金日添利2号D,中低风险,存续期内,在售
EW3051D,阳光金日添利3号D,中低风险,存续期内,在售
EW3534D,阳光金日添利4号D,中低风险,存续期内,在售
EW3535D,阳光金日添利5号D,中低风险,存续期内,在售
CYQWFDY90DA,（全天候）中银理财-稳富固收增强全球多元策略90天持有期,中低风险,存续期内,在售
XCZCYQWFGPJAY30DA,（新城镇惠盈）中银理财-稳富高评级安盈30天持有期,低风险,存续期内,在售
XCZWFGPJAYRKA,（新城镇惠盈）中银理财-稳富高评级安盈日开,低风险,存续期内,在售
WFZQXBCFYJ90D,（湘伴长丰）中银理财-稳富固收增强优嘉90天持有期,中低风险,存续期内,在售
21G2681F,（腾飞盈选）工银理财鑫添益固收增强最短持有30天3号,中低风险,存续期内,在售
2501251921,（薪享）周周鑫最短持有期146号,中低风险,存续期内,在售
2501251890,（薪享）天添鑫中短债92号,中低风险,存续期内,在售
2501251828,（薪享）月月鑫最短持有期83号,中低风险,存续期内,在售
CYQQSESGZQ30DA,（青山）中银理财-ESG优享固收增强30天持有期,中低风险,存续期内,在售
CYQQSESGZQ3MA,（青山）中银理财-ESG优享固收增强3个月持有期,中低风险,存续期内,在售
